QuestionId, ImageId, EnglishQuestion, DutchQuestion, FrenchQuestion
6, 6, "How many children are with the mother", "Hoeveel kinderen zijn er bij de moeder?", "Combien d’enfants sont avec la mère ?"
7, 7, "What is the man behind the counter wearing", "Wat draagt de man achter de toonbank?", "Que porte l’homme derrière le comptoir ?"
8, 8, "How many paintings are in the room ", "Hoeveel schilderijen hangen er in de kamer?", "Combien de tableaux y a-t-il dans la pièce ?"
9, 9, "What is the woman NOT selling", "Wat verkoopt de vrouw NIET?", "Que ne vend pas la femme ?"
10, 10, "What is the child building", "Wat bouwt het kind?", "Que construit l’enfant ?"
11, 11, "What were the people eating", "Wat aten de mensen?", "Que mangeaient les gens ?"
12, 12, "How many people were in the store ", "Hoeveel mensen waren er in de winkel?", "Combien de personnes étaient dans le magasin ?"
13, 13, "What holiday are they celebrating ", "Welke feestdag vieren ze?", "Quelle fête célèbrent-ils ?"
14, 14, "What is the favourite fruit of the students", "Wat is het favoriete fruit van de studenten?", "Quel est le fruit préféré des étudiants ?"
15, 15, "Which machine is on the construction site", "Welke machine staat op de bouwplaats?", "Quelle machine se trouve sur le chantier ?"
16, 16, "How many people were in the room", "Hoeveel mensen waren er in de kamer?", "Combien de personnes étaient dans la pièce ?"
17, 17, "Which animal does the farmer NOT have?", "Welk dier heeft de boer NIET?", "Quel animal le fermier n’a-t-il PAS ?"
18, 18, "Which one of these flowers are sold in the store ", "Welke van deze bloemen worden in de winkel verkocht?", "Laquelle de ces fleurs est vendue dans le magasin ?"
19, 19, "What holiday are they celebrating ", "Welke feestdag vieren ze?", "Quelle fête célèbrent-ils ?"
20, 20, "What are the three animals in the picture", "Welke drie dieren staan op de afbeelding?", "Quels sont les trois animaux sur l’image ?"
28, 28, "Which planet was on the screen", "Welke planeet stond op het scherm?", "Quelle planète était affichée à l’écran ?"
32, 32, "What food was the zookeeper holding", "Welk eten hield de dierenverzorger vast?", "Quelle nourriture le gardien tenait-il ?"
33, 33, "What color shirt was the boy wearing?", "Welke kleur T-shirt droeg de jongen?", "De quelle couleur était le T-shirt du garçon ?"
34, 34, "How many balloons were in the picture?", "Hoeveel ballonnen waren er op de foto?", "Combien de ballons y avait-il sur l’image ?"
35, 35, "What was the lady holding in her left hand?", "Wat hield de vrouw in haar linkerhand?", "Que tenait la femme dans sa main gauche ?"
36, 36, "What was one of the shapes on the neon signs?", "Welke vorm stond op de neontekens?", "Quelle vorme figurait sur les néons ?"
37, 37, "How many people were in the museum?", "Hoeveel mensen waren er in het museum?", "Combien de personnes étaient dans le musée ?"
41, 41, "How many flowers are in the picture", "Hoeveel bloemen staan er op de foto?", "Combien de fleurs sont sur la foto ?"
