RoundId,DifficultyId,Title,Description,OriginalImageId,DifferenceImageId
6,3,"Airport Hard","How many children are with the mother",12,13
7,5,"Antique Impossible","What is the man behind the counter wearing",14,15
8,2,"Art Medium","How many paintings are in the room ",16,17
9,3,"Bakery Hard","What is the woman NOT selling",18,19
10,1,"Beach Easy","What is the child building",20,21
11,1,"Camp Easy","What were the people eating",22,23
12,4,"Candy Insane","How many people were in the store ",24,25
13,2,"Christmas Medium","What holiday are they celebrating ",26,27
14,2,"Class Medium","What is the favourite fruit of the students",28,29
15,5,"Construction Impossible","Which machine is on the construction site",30,31
16,4,"Controller Insane","How many people were in the room",32,33
17,1,"Farm Easy","Which animal does the farmer NOT have?",34,35
18,3,"Flower Hard","Which one of these flowers are sold in the store ",36,37
19,2,"Halloween Medium","What holiday are they celebrating ",38,39
20,1,"Jungle Easy","What are the three animals in the picture",40,41
28,5,"Space Impossible","Which planet was on the screen",56,57
32,2,"Zoo Medium","What food was the zookeeper holding",64,65
33,1,"Easy Level 1","What color shirt was the boy wearing?",66,67
34,2,"Easy Level 2","How many balloons were in the picture?",68,69
35,3,"Medium Level 1","What was the lady holding?",70,71
36,4,"Medium Level 2","Which shape was on the neon sign?",72,73
37,5,"Hard Level 1","How many people were in the museum?",74,75
41,1,"Huis","Hoe veel bloemen staan op de foto?",83,84
